Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Biogroup	Alternative Name	Species	Disease	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	O Serotype	Contact Name	Date Entered	Release Date	Barcode	Status	Coverage	Version	N50	Length	Species	Contig Number	No. N's	Assembly Barcode
YER_AA1358AA	IP1321	traces-0LjoiOd;ILLUMINA;Paired;;NA	Human	Human	bubo	1996				Africa	Madagascar	Itasy	Arivonimamo	Arivonimamo I				E. Carniel		21/96	Yersinia pestis									2015-02-12	2016-12-31	YER_AA1358AA	Assembled	104	2.3	47112	4651420	Yersinia pestis;100.0%	197	3106	YER_CA6777AA_AS
YER_AA1359AA	IP1698	traces-0IxSWAQ;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Shrew (Suncus murinus), Spleen	1998	8	19		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.7199686	46.32240522	E. Carniel		93/98S	Yersinia pestis		date = day of capture							2015-02-12	2016-12-31	YER_AA1359AA	Assembled	93	2.3	47147	4655190	Yersinia pestis;100.0%	201	3322	YER_CA6778AA_AS
YER_AA1360AA	IP285	traces-0wgqstH;ILLUMINA;Paired;;NA	Human	Human	lung (sputum)	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90876497	47.51256166	E. Carniel		31/95 C	Yersinia pestis									2015-12-02	2016-12-31	YER_AA1360AA	Assembled	111	2.3	47176	4655182	Yersinia pestis;100.0%	195	3214	YER_CA6779AA_AS
YER_AA1361AA	IP1141	traces-0eEixag;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Rat (Rattus norvegicus), Spleen	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90721957	47.51933343	E. Carniel		167/95 B	Yersinia pestis									2015-02-12	2016-12-31	YER_AA1361AA	Assembled	115	2.3	47147	4655787	Yersinia pestis;100.0%	196	2781	YER_CA6780AA_AS
YER_AA1362AA	IP1394	traces-0FisMiw;ILLUMINA;Paired;;NA	Human	Human	bubo	1996	9	5		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.71614609	46.32103353	E. Carniel		100/96	Yersinia pestis		date = day of 1st symptoms							2015-02-12	2016-12-31	YER_AA1362AA	Assembled	84	2.3	45662	4653341	Yersinia pestis;100.0%	197	2991	YER_CA6781AA_AS
YER_AA1363AA	IP1311	traces-0oxteFy;ILLUMINA;Paired;;NA	Human	Human	bubo	1996				Africa	Madagascar	Itasy	Soavinandriana	Antanetibe		-19.12826894	46.84107353	E. Carniel		10/96	Yersinia pestis									2015-02-12	2016-12-31	YER_AA1363AA	Assembled	121	2.3	48847	4651789	Yersinia pestis;100.0%	184	2930	YER_CA6782AA_AS
YER_AA1364AA	IP279	traces-0VtdbXi;ILLUMINA;Paired;;NA	Human	Human	tonsil (sputum)	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90876497	47.51256166	E. Carniel		29/95 G	Yersinia pestis									2015-12-02	2016-12-31	YER_AA1364AA	Assembled	134	2.3	47465	4657159	Yersinia pestis;100.0%	193	2315	YER_CA6783AA_AS
YER_AA1366AA	IP1159	traces-0EDhQtR;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Rat (Rattus norvegicus), Spleen	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90721957	47.51933343	E. Carniel		183/95 B	Yersinia pestis									2015-02-12	2016-12-31	YER_AA1366AA	Assembled	134	2.3	47461	4653827	Yersinia pestis;100.0%	199	4394	YER_CA6785AA_AS
YER_AA1367AA	IP266	traces-0dBnZJJ;ILLUMINA;Paired;;NA	Human	Human	sputum	1994				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 5		-18.88010041	47.53932084	E. Carniel		44/94	Yersinia pestis									2015-12-02	2016-12-31	YER_AA1367AA	Assembled	161	2.3	47461	4733551	Yersinia pestis;99.47%	195	3571	YER_CA6786AA_AS
YER_AA1368AA	IP1697	traces-0MNHqiJ;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Shrew (Suncus murinus), Spleen	1998	8	20		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.7199686	46.32240522	E. Carniel	Orientalis	94/98S	Yersinia pestis		date = day of capture; genotype: 1.ORI							2015-02-12	2016-12-31	YER_AA1368AA	Assembled	122	2.3	47229	4656837	Yersinia pestis;100.0%	197	3720	YER_CA6787AA_AS
YER_AA1369AA	IP1621	traces-0cbkHnV;ILLUMINA;Paired;;NA	Human	Human	bubo	1997	10	10		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.71413007	46.32382322	E. Carniel		221/97B	Yersinia pestis		date = day of 1st symptoms							2015-02-12	2016-12-31	YER_AA1369AA	Assembled	157	2.3	47176	4654286	Yersinia pestis;100.0%	196	3447	YER_CA6788AA_AS
YER_AA1370AA	IP1647	traces-0mdqGLI;ILLUMINA;Paired;;NA	Human	Human	Liver	1995	12	5		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.71338643	46.32068495	E. Carniel		207/95S	Yersinia pestis		date = day of 1st symptoms							2015-02-12	2016-12-31	YER_AA1370AA	Assembled	183	2.3	47176	4659116	Yersinia pestis;100.0%	197	3256	YER_CA6789AA_AS
YER_AA1371AA	IP269	traces-0ceDOHf;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Murine, spleen	1994				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90721957	47.51933343	E. Carniel		70/94	Yersinia pestis									2015-12-02	2016-12-31	YER_AA1371AA	Assembled	169	2.3	47909	4685353	Yersinia pestis;100.0%	191	2622	YER_CA6790AA_AS
YER_AA1372AA	IP1153	traces-0jFKuMm;ILLUMINA;Paired;;NA	Human	Human	Sputum	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90876497	47.51256166	E. Carniel		31C/95 S	Yersinia pestis									2015-02-12	2016-12-31	YER_AA1372AA	Assembled	101	2.3	47229	4658053	Yersinia pestis;100.0%	192	3660	YER_CA6791AA_AS
YER_AA1373AA	IP1131	traces-0eMhpBA;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Rat, Spleen	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90721957	47.51933343	E. Carniel		54/95 S	Yersinia pestis									2015-02-12	2016-12-31	YER_AA1373AA	Assembled	200	2.3	47160	4654607	Yersinia pestis;100.0%	195	3935	YER_CA6792AA_AS
YER_AA1375AA	IP1779	traces-0vNftax;ILLUMINA;Paired;;NA	Human	Human	bubo	2000				Africa	Madagascar	Analamanga	Manjakandriana	Ambanitsena		-18.90244929	47.69056513	E. Carniel		302/00B	Yersinia pestis									2015-12-02	2016-12-31	YER_AA1375AA	Assembled	183	2.3	48919	4648660	Yersinia pestis;100.0%	188	3091	YER_CA6794AA_AS
YER_AA1376AA	IP1787	traces-0pYKlxk;ILLUMINA;Paired;;NA	Human	Human	bubo	2000				Africa	Madagascar	Amoron'i Mania	Ambositra	Ankazoambo				E. Carniel		84/00B	Yersinia pestis									2015-12-02	2016-12-31	YER_AA1376AA	Assembled	72	2.3	44698	4681772	Yersinia pestis;100.0%	200	3924	YER_CA6795AA_AS
YER_AA1377AA	IP1128	traces-0ikuwIl;ILLUMINA;Paired;;NA	Human	Human	bubo	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 4		-18.9221223	47.50580801	E. Carniel		39/95 B	Yersinia pestis									2015-02-12	2016-12-31	YER_AA1377AA	Assembled	140	2.3	47461	4652998	Yersinia pestis;100.0%	189	2716	YER_CA6796AA_AS
YER_AA1378AA	IP1317	traces-0MRziJc;ILLUMINA;Paired;;NA	Human	Human	bubo	1996				Africa	Madagascar	Vakinankaratra	Betafo	Ambohijato		-19.82010409	46.89980108	E. Carniel		17/96	Yersinia pestis									2015-02-12	2016-12-31	YER_AA1378AA	Assembled	116	2.3	48440	4652471	Yersinia pestis;100.0%	186	3519	YER_CA6797AA_AS
YER_AA1379AA	IP1143	traces-0qBElUk;ILLUMINA;Paired;;NA	Human	Human	Human	1995				Africa	Madagascar	Itasy	Miarinarivo	Miarinarivo II		-18.96087013	46.90193307	E. Carniel		193/95 B	Yersinia pestis									2015-02-12	2016-12-31	YER_AA1379AA	Assembled	110	2.3	47094	4657182	Yersinia pestis;100.0%	195	2846	YER_CA6798AA_AS
YER_AA1380AA	IP1165	traces-0dMpnmg;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Rat (Rattus rattus), Spleen	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90721957	47.51933343	E. Carniel		154/95 S	Yersinia pestis									2015-02-12	2016-12-31	YER_AA1380AA	Assembled	103	2.3	47461	4652413	Yersinia pestis;100.0%	193	3609	YER_CA6799AA_AS
YER_AA1383AA	IP244	traces-0IxrVWe;ILLUMINA;Paired;;NA	Human	Human	Lung	1992				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90580409	47.51163904	E. Carniel	Orientalis	10/92	Yersinia pestis		1.ORI3 node k							2015-03-12	2016-12-31	YER_AA1383AA	Assembled	76	2.3	45662	4657634	Yersinia pestis;99.46%	197	2549	YER_CA6804AA_AS
YER_AA1384AA	IP262	traces-0aljyPR;ILLUMINA;Paired;;NA	Human	Human	bubo	1994				Africa	Madagascar	Sava	Andapa	Doany		-14.34914261	49.4187689	E. Carniel		17/94	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1384AA	Assembled	82	2.3	45058	4663482	Yersinia pestis;99.48%	205	3433	YER_CA6805AA_AS
YER_AA1385AA	IP261	traces-0oWlKTy;ILLUMINA;Paired;;NA	Human	Human	bubo	1994				Africa	Madagascar	Sava	Andapa	Doany		-14.34914261	49.4187689	E. Carniel		16/94	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1385AA	Assembled	123	2.3	47152	4660091	Yersinia pestis;99.46%	199	3213	YER_CA6806AA_AS
YER_AA1386AA	IP2227	traces-0MMFuOG;ILLUMINA;Paired;;NA	Human	Human	bubo	1998	9	16		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.71480084	46.31595265	E. Carniel		100/98S	Yersinia pestis		date = day of 1st symptoms							2015-12-03	2016-12-31	YER_AA1386AA	Assembled	135	2.3	47176	4654553	Yersinia pestis;100.0%	196	2801	YER_CA6807AA_AS
YER_AA1387AA	IP1731	traces-0KlwZVh;ILLUMINA;Paired;;NA	Human	Human	Organs	1998				Africa	Madagascar	Analamanga	Manjakandriana	Soavinandriana		-18.72156935	47.89254487	E. Carniel		190/98 S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1387AA	Assembled	196	2.3	48847	4653595	Yersinia pestis;100.0%	179	3228	YER_CA6808AA_AS
YER_AA1388AA	IP272	traces-0VjIQXM;ILLUMINA;Paired;;NA	Human	Human	bubo	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90580409	47.51163904	E. Carniel	Orientalis	10/95	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1388AA	Assembled	138	2.3	47229	4737907	Yersinia pestis;98.93%	200	2209	YER_CA6809AA_AS
YER_AA1389AA	IP1517	traces-0HtkjeW;ILLUMINA;Paired;;NA	Human	Human	bubo	1991	10	13		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.71480084	46.31595265	E. Carniel		59/91	Yersinia pestis		date = day of sampling							2015-03-12	2016-12-31	YER_AA1389AA	Assembled	103	2.3	44661	4540125	Yersinia pestis;99.45%	194	2532	YER_CA6810AA_AS
YER_AA1390AA	IP276	traces-0fkQiJv;ILLUMINA;Paired;;NA	Human	Human	bubo	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 4		-18.93337522	47.51385224	E. Carniel		27/95 S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1390AA	Assembled	93	2.3	47147	4660698	Yersinia pestis;98.94%	201	3309	YER_CA6811AA_AS
YER_AA1391AA	IP2245	traces-0MsZofS;ILLUMINA;Paired;;NA	Human	Human	bubo	1997				Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.71648028	46.32828885	E. Carniel		112/97B	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1391AA	Assembled	89	2.3	45662	4657392	Yersinia pestis;99.49%	207	2514	YER_CA6812AA_AS
YER_AA1392AA	IP280	traces-0uqSwGc;ILLUMINA;Paired;;NA	Human	Human	tonsil (saliva)	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90876497	47.51256166	E. Carniel		30/95 A or G	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1392AA	Assembled	124	2.3	47176	4654127	Yersinia pestis;99.46%	196	2851	YER_CA6813AA_AS
YER_AA1393AA	IP1851	traces-0AMCoUd;ILLUMINA;Paired;;NA	Human	Human	bubo	1997				Africa	Madagascar	Analamanga	Anjozorobe	Betatao		-18.12314086	47.94671839	E. Carniel		2/97B-80	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1393AA	Assembled	115	2.3	48847	4650923	Yersinia pestis;100.0%	181	3986	YER_CA6814AA_AS
YER_AA1394AA	IP1858	traces-0eBpyOq;ILLUMINA;Paired;;NA	Human	Human	bubo	1999				Africa	Madagascar	Vakinankaratra	Betafo	Ambohimanambola		-19.78170461	46.56354536	E. Carniel		192/99B	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1394AA	Assembled	102	2.3	47865	4653347	Yersinia pestis;100.0%	186	2841	YER_CA6815AA_AS
YER_AA1395AA	IP2226	traces-0tRWJmc;ILLUMINA;Paired;;NA	Human	Human	Organ	1998				Africa	Madagascar	Itasy	Soavinandriana	Soavinandriana		-19.16794909	46.75409768	E. Carniel		104/98S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1395AA	Assembled	113	2.3	45058	4659209	Yersinia pestis;99.48%	199	2938	YER_CA6816AA_AS
YER_AA1396AA	IP2216	traces-0jrMZni;ILLUMINA;Paired;;NA	Human	Human	bubo	2000				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90580409	47.51163904	E. Carniel		1/00B	Yersinia pestis									2015-03-12	2016-12-31	YER_AA1396AA	Assembled	169	2.3	47298	4671237	Yersinia pestis;99.48%	204	2674	YER_CA6817AA_AS
YER_AA1397AA	IP2230	traces-0tEMzxM;ILLUMINA;Paired;;NA	Human	Human	bubo	1998				Africa	Madagascar	Analamanga	Manjakandriana	Alarobia		-18.95098444	47.75602416	E. Carniel		2/98B	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1397AA	Assembled	55	2.3	41304	4639377	Yersinia pestis;99.5%	214	5415	YER_CA6818AA_AS
YER_AA1398AA	IP1136	traces-0AHbFlW;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Rat (Rattus norvegicus), Spleen	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90721957	47.51933343	E. Carniel		107/95 B	Yersinia pestis									2015-03-12	2016-12-31	YER_AA1398AA	Assembled	110	2.3	47176	4654160	Yersinia pestis;100.0%	198	3526	YER_CA6819AA_AS
YER_AA1399AA	IP2225	traces-0ECyfMX;ILLUMINA;Paired;;NA	Wild Animal	Invertebrates	Flea (Xenopsylla cheopis), homogenate	1998	9	21		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.71994416	46.35928464	E. Carniel		114/98B	Yersinia pestis		date = day of capture							2015-03-12	2016-12-31	YER_AA1399AA	Assembled	138	2.3	45662	4655206	Yersinia pestis;100.0%	203	2656	YER_CA6820AA_AS
YER_AA1400AA	IP1788	traces-0ZyhiTQ;ILLUMINA;Paired;;NA	Human	Human	bubo	1999				Africa	Madagascar	Vakinankaratra	Betafo	Tritriva		-19.93288122	46.9184677	E. Carniel		334/99B	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1400AA	Assembled	103	2.3	45042	4652075	Yersinia pestis;100.0%	198	2362	YER_CA6821AA_AS
YER_AA1401AA	IP2213	traces-0jwKcaS;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Rat (Rattus norvegicus), Spleen	2000				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Antananarivo		-18.90721957	47.51933343	E. Carniel		141/00S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1401AA	Assembled	117	2.3	47160	4654682	Yersinia pestis;100.0%	199	3141	YER_CA6822AA_AS
YER_AA1402AA	IP2232	traces-0aZjpMf;ILLUMINA;Paired;;NA	Human	Human	bubo	1997				Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.70967256	46.34927515	E. Carniel		364/97S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1402AA	Assembled	105	2.3	48440	4652138	Yersinia pestis;100.0%	185	3277	YER_CA6823AA_AS
YER_AA1403AA	IP271	traces-0FqeLHE;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Murine, spleen	1994				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90958182	47.51513652	E. Carniel		78/94	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1403AA	Assembled	93	2.3	47112	4656512	Yersinia pestis;99.44%	197	2375	YER_CA6824AA_AS
YER_AA1404AA	IP1605	traces-0OGYKqv;ILLUMINA;Paired;;NA	Human	Human	bubo	1995	5	20		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.71480084	46.31595265	E. Carniel		75/95B	Yersinia pestis		date = day of 1st symptoms							2015-03-12	2016-12-31	YER_AA1404AA	Assembled	94	2.3	45058	4541190	Yersinia pestis;99.47%	200	2869	YER_CA6825AA_AS
YER_AA1406AA	IP2235	traces-0BzyCKa;ILLUMINA;Paired;;NA	Human	Human	Sputum	1997				Africa	Madagascar	Analamanga	Manjakandriana	Merikanjaka		-19.16156057	47.88686792	E. Carniel		214/97S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1406AA	Assembled	138	2.3	47731	4690988	Yersinia pestis;98.93%	197	2921	YER_CA6827AA_AS
YER_AA1407AA	IP2228	traces-0sBCxEA;ILLUMINA;Paired;;NA	Human	Human	bubo	1998	8	18		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.72407712	46.32805994	E. Carniel		81/98B	Yersinia pestis		date = day of 1st symptoms							2015-12-03	2016-12-31	YER_AA1407AA	Assembled	137	2.3	44871	4639888	Yersinia pestis;100.0%	204	3640	YER_CA6828AA_AS
YER_AA1408AA	IP2210	traces-0OQxWcB;ILLUMINA;Paired;;NA	Human	Human	bubo	2001				Africa	Madagascar	Itasy	Miarinarivo	Analavory		-18.99454417	46.77575631	E. Carniel		13/01B	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1408AA	Assembled	109	2.3	47160	4651686	Yersinia pestis;100.0%	197	2470	YER_CA6829AA_AS
YER_AA1409AA	IP1709	traces-0dWYsLV;ILLUMINA;Paired;;NA	Wild Animal	Invertebrates	Flea (Xenopsylla cheopis), homogenate	1998				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 3		-18.89637614	47.52886933	E. Carniel		173/98B	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1409AA	Assembled	119	2.3	47176	4653668	Yersinia pestis;100.0%	197	1895	YER_CA6830AA_AS
YER_AA1410AA	IP2247	traces-0FXJkQp;ILLUMINA;Paired;;NA	Human	Human	bubo	1996				Africa	Madagascar	Itasy	Soavinandriana	Tamponala		-19.30998768	46.39580776	E. Carniel		196/96S	Yersinia pestis									2015-03-12	2016-12-31	YER_AA1410AA	Assembled	117	2.3	47094	4658669	Yersinia pestis;99.46%	198	3003	YER_CA6831AA_AS
YER_AA1411AA	IP1722	traces-0gdyMQj;ILLUMINA;Paired;;NA	Human	Human	Organs	1997				Africa	Madagascar	Vakinankaratra	Ambatolampy	Tsinjoarivo		-19.67848952	47.66559644	E. Carniel		332/97B	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1411AA	Assembled	93	2.3	48847	4654581	Yersinia pestis;100.0%	189	3020	YER_CA6832AA_AS
YER_AA1412AA	IP2208	traces-0anEOIw;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Rat (Rattus norvegicus), Spleen	2014	10	23		Africa	Madagascar	Mahajanga	Mahajanga I	Mahajanga I		-15.71480084	46.31595265	E. Carniel		89/14S	Yersinia pestis		date = day of capture							2015-12-03	2016-12-31	YER_AA1412AA	Assembled	68	2.3	45299	4656078	Yersinia pestis;99.48%	203	3841	YER_CA6833AA_AS
YER_AA1415AA	IP1135	traces-0cwdGSy;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Rat (Rattus rattus), Spleen	1995				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90721957	47.51933343	E. Carniel		103/95 B	Yersinia pestis									2015-03-12	2016-12-31	YER_AA1415AA	Assembled	87	2.3	45662	4655810	Yersinia pestis;100.0%	195	2955	YER_CA6836AA_AS
YER_AA1416AA	IP1705	traces-0bASEWF;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Rat (Rattus norvegicus), Spleen	1998				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90876497	47.51256166	E. Carniel		101/98B	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1416AA	Assembled	144	2.3	47229	4656630	Yersinia pestis;100.0%	194	2936	YER_CA6837AA_AS
YER_AA1417AA	IP1811	traces-0ufeidn;ILLUMINA;Paired;;NA	Human	Human	bubo	1997				Africa	Madagascar	Amoron'i Mania	Ambositra	Ambositra I				E. Carniel		287/97B	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1417AA	Assembled	98	2.3	47164	4687737	Yersinia pestis;99.46%	197	3143	YER_CA6838AA_AS
YER_AA1418AA	IP1703	traces-0wAFPkI;ILLUMINA;Paired;;NA	Wild Animal	Rodent	Rat (Rattus norvegicus), Spleen	1998				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90721957	47.51933343	E. Carniel		182/98S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1418AA	Assembled	116	2.3	48433	4652444	Yersinia pestis;100.0%	193	2585	YER_CA6839AA_AS
YER_AA1419AA	IP1704	traces-0sJfeRn;ILLUMINA;Paired;;NA	Wild Animal	Invertebrates	Flea (Xenopsylla cheopis), homogenate	1998				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90721957	47.51933343	E. Carniel		194/98S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1419AA	Assembled	123	2.3	47229	4658501	Yersinia pestis;100.0%	192	2727	YER_CA6840AA_AS
YER_AA1420AA	IP2236	traces-0CYGQRx;ILLUMINA;Paired;;NA	Human	Human	bubo	1997				Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.7199686	46.32240522	E. Carniel		203/97B	Yersinia pestis									2015-03-12	2016-12-31	YER_AA1420AA	Assembled	59	2.3	39794	4657729	Yersinia pestis;99.5%	210	3623	YER_CA6841AA_AS
YER_AA1421AA	IP1706	traces-0CSQiRh;ILLUMINA;Paired;;NA	Wild Animal	Invertebrates	Flea (Xenopsylla cheopis), homogenate	1998				Africa	Madagascar	Analamanga	Antananarivo Renivohitra	Arrond 1		-18.90876497	47.51256166	E. Carniel		102/98B	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1421AA	Assembled	160	2.3	47461	4657227	Yersinia pestis;100.0%	192	2382	YER_CA6842AA_AS
YER_AA1422AA	IP1132	traces-0swSikz;ILLUMINA;Paired;;NA	Human	Human	bubo	1991	11	15		Africa	Madagascar	Boeny	Mahajanga II	Boanamary		-15.8615101	46.39799824	E. Carniel		70/91 S	Yersinia pestis		date = day of sampling							2015-03-12	2016-12-31	YER_AA1422AA	Assembled	107	2.3	47078	4542129	Yersinia pestis;98.89%	192	2652	YER_CA6843AA_AS
YER_AA1424AA	IP1796	traces-0gLhrJo;ILLUMINA;Paired;;NA	Human	Human	Liver	1996				Africa	Madagascar	Itasy	Miarinarivo	Manazary		-19.04968162	46.83171903	E. Carniel		1/96B/foie	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1424AA	Assembled	119	2.3	47461	4653868	Yersinia pestis;99.46%	195	3197	YER_CA6845AA_AS
YER_AA1425AA	IP1785	traces-0RparVA;ILLUMINA;Paired;;NA	Human	Human	Sputum	1999				Africa	Madagascar	Analamanga	Manjakandriana	Ranovao		-18.81000132	47.86492858	E. Carniel		138/99B	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1425AA	Assembled	115	2.3	49060	4652315	Yersinia pestis;99.41%	182	2949	YER_CA6846AA_AS
YER_AA1426AA	IP2229	traces-0IpLvWA;ILLUMINA;Paired;;NA	Human	Human	Sputum	1998				Africa	Madagascar	Itasy	Miarinarivo	Zoma Bealoka		-18.88887045	47.04220238	E. Carniel		49/98S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1426AA	Assembled	124	2.3	47176	4652794	Yersinia pestis;100.0%	196	2754	YER_CA6847AA_AS
YER_AA1427AA	IP1683	traces-0LFgdaq;ILLUMINA;Paired;;NA	Human	Human	bubo	1997	7	11		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.71746396	46.34110108	E. Carniel		107/97 S	Yersinia pestis		date = day of 1st symptoms							2015-12-03	2016-12-31	YER_AA1427AA	Assembled	96	2.3	45662	4658220	Yersinia pestis;99.47%	196	3389	YER_CA6848AA_AS
YER_AA1428AA	IP2218	traces-0MwSBzZ;ILLUMINA;Paired;;NA	Human	Human	bubo	1999				Africa	Madagascar	Haute Matsiatra	Fianarantsoa I	Vohitrafeno				E. Carniel		22/99S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1428AA	Assembled	134	2.3	44736	4649918	Yersinia pestis;99.5%	208	2307	YER_CA6849AA_AS
YER_AA1429AA	IP2233	traces-0xkfXDH;ILLUMINA;Paired;;NA	Human	Human	bubo	1997				Africa	Madagascar	Itasy	Soavinandriana	Ampefy		-19.04609973	46.73107993	E. Carniel		316/97S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1429AA	Assembled	93	2.3	47387	4654353	Yersinia pestis;100.0%	189	4043	YER_CA6850AA_AS
YER_AA1430AA	IP2219	traces-0FbvbPM;ILLUMINA;Paired;;NA	Human	Human	bubo	1999	1	2		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.71561695	46.31819662	E. Carniel		21/99B	Yersinia pestis		date = day of 1st symptoms							2015-12-03	2016-12-31	YER_AA1430AA	Assembled	145	2.3	45357	4664019	Yersinia pestis;99.49%	207	2351	YER_CA6851AA_AS
YER_AA1431AA	IP1516	traces-0eZlUlx;ILLUMINA;Paired;;NA	Human	Human	bubo	1991	9	6		Africa	Madagascar	Boeny	Mahajanga I	Mahajanga I		-15.71480084	46.31595265	E. Carniel		55/91	Yersinia pestis		date = day of sampling							2015-03-12	2016-12-31	YER_AA1431AA	Assembled	113	2.3	47465	4641664	Yersinia pestis;99.45%	190	2958	YER_CA6852AA_AS
YER_AA1433AA	IP2246	traces-0BvmAVP;ILLUMINA;Paired;;NA	Human	Human	bubo	1997				Africa	Madagascar	Amoron'i Mania	Ambositra	Ivony Miaramiasa				E. Carniel		68/97S	Yersinia pestis									2015-12-03	2016-12-31	YER_AA1433AA	Assembled	93	2.3	47465	4659016	Yersinia pestis;99.47%	201	2915	YER_CA6854AA_AS
