id	SRA_id	SRABioProjectAccession	SRABioSampleAccession	SRAExperimentAccession	SRARunAccession	SRASampleAccession	SRAExperimentName	SRAExperimentStatus	SRAExperimentVersion	SRAIsPublic	SRASampleName	SRAStaticDataAvailable	SRAStudyAcc	SRAStudName	SRATitle	SRAOrganismName	SRAOrganismTaxID	SRAClusterName	SRAInstrumentModel	SRALibraryName	SRALibraryLayout	SRALibrarySelection	SRALibrarySource	SRALibraryStrategy	SRAPlatform	SRATotalBases	SRATotalSize	SRATotalSpots	SRATotalRuns	SRACreateDate	SRAUpdateDate	SRACenterName	SRAContactName	SRALabName	SRASubmitterAccession	SRAComment
234	4822629	PRJNA421720	SAMN08162032	SRX3462615	SRR6367037	SRS2750738	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3979	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	260929356	158050183	1402846	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
235	4822628	PRJNA421720	SAMN08161696	SRX3462614	SRR6367038	SRS2750756	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3352	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	379992048	256768914	2042968	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
236	4822627	PRJNA421720	SAMN08161695	SRX3462613	SRR6367039	SRS2750737	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3350	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	311499408	209890739	1674728	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
237	4822626	PRJNA421720	SAMN08161694	SRX3462612	SRR6367040	SRS2750754	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3349	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	301030398	203239261	1618443	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
238	4822625	PRJNA421720	SAMN08161693	SRX3462611	SRR6367041	SRS2750736	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3346	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	463550316	310676468	2492206	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
239	4822624	PRJNA421720	SAMN08161692	SRX3462610	SRR6367042	SRS2750752	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3342	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	290051190	194727223	1559415	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
240	4822623	PRJNA421720	SAMN08161691	SRX3462609	SRR6367043	SRS2750742	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3341	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	248311488	169600495	1335008	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
241	4822622	PRJNA421720	SAMN08161690	SRX3462608	SRR6367044	SRS2750759	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3340	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	333846006	224034588	1794871	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
242	4822621	PRJNA421720	SAMN08161689	SRX3462607	SRR6367045	SRS2750733	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3338	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	363922392	244753022	1956572	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
243	4822620	PRJNA421720	SAMN08161698	SRX3462606	SRR6367046	SRS2750753	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3358	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	346841640	237081966	1864740	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
244	4822619	PRJNA421720	SAMN08161697	SRX3462605	SRR6367047	SRS2750734	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3356	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	333297306	226267941	1791921	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
245	4822618	PRJNA421720	SAMN08161932	SRX3462604	SRR6367048	SRS2750728	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3763	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	265739130	175652052	1428705	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
246	4822617	PRJNA421720	SAMN08161931	SRX3462603	SRR6367049	SRS2750732	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3762	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	654862848	444616159	3520768	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
247	4822616	PRJNA421720	SAMN08161930	SRX3462602	SRR6367050	SRS2750726	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3761	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	434041788	290674702	2333558	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
248	4822615	PRJNA421720	SAMN08161929	SRX3462601	SRR6367051	SRS2750741	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3759	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	249934710	165335144	1343735	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
249	4822614	PRJNA421720	SAMN08161936	SRX3462600	SRR6367052	SRS2750724	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3774	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	256892598	168987778	1381143	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
250	4822613	PRJNA421720	SAMN08161935	SRX3462599	SRR6367053	SRS2750725	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3768	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	450586860	298448962	2422510	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
251	4822612	PRJNA421720	SAMN08161934	SRX3462598	SRR6367054	SRS2750729	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3766	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	358348716	237253716	1926606	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
252	4822611	PRJNA421720	SAMN08161933	SRX3462597	SRR6367055	SRS2750743	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3765	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	430340388	281845502	2313658	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
253	4822610	PRJNA421720	SAMN08161938	SRX3462596	SRR6367056	SRS2750721	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3783	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	247525452	145844581	1330782	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
254	4822609	PRJNA421720	SAMN08161937	SRX3462595	SRR6367057	SRS2750722	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3780	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	212257434	126316263	1141169	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
255	4822608	PRJNA421720	SAMN08161787	SRX3462594	SRR6367058	SRS2750755	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3517	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	509363232	340354186	2738512	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
256	4822607	PRJNA421720	SAMN08161788	SRX3462593	SRR6367059	SRS2750720	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3518	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	414464172	296801233	2228302	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
257	4822606	PRJNA421720	SAMN08161785	SRX3462592	SRR6367060	SRS2750719	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3515	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	459328302	329288858	2469507	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
258	4822605	PRJNA421720	SAMN08161786	SRX3462591	SRR6367061	SRS2750727	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3516	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	380998308	250797993	2048378	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
259	4822604	PRJNA421720	SAMN08161783	SRX3462590	SRR6367062	SRS2750735	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3511	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	446367264	292246119	2399824	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
260	4822603	PRJNA421720	SAMN08161784	SRX3462589	SRR6367063	SRS2750751	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3512	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	412125594	294669970	2215729	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
261	4822602	PRJNA421720	SAMN08161915	SRX3462588	SRR6367064	SRS2750718	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3735	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	364761252	244023798	1961082	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
262	4822601	PRJNA421720	SAMN08161782	SRX3462587	SRR6367065	SRS2750713	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3510	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	236261292	146804177	1270222	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
263	4822600	PRJNA421720	SAMN08161779	SRX3462586	SRR6367066	SRS2750717	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3507	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	442523202	294354327	2379157	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
264	4822599	PRJNA421720	SAMN08161780	SRX3462585	SRR6367067	SRS2750711	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3508	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	328379280	237476895	1765480	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
265	4822598	PRJNA421720	SAMN08161957	SRX3462584	SRR6367068	SRS2750760	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3805	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	558743442	369483980	3003997	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
266	4822597	PRJNA421720	SAMN08161868	SRX3462583	SRR6367069	SRS2750740	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3653	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	536986092	353193597	2887022	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
267	4822596	PRJNA421720	SAMN08161867	SRX3462582	SRR6367070	SRS2750710	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3652	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	475349598	316257489	2555643	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
268	4822595	PRJNA421720	SAMN08161866	SRX3462581	SRR6367071	SRS2750707	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3651	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	630798354	423587383	3391389	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
269	4822594	PRJNA421720	SAMN08161865	SRX3462580	SRR6367072	SRS2750706	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3650	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	664241712	438585258	3571192	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
270	4822593	PRJNA421720	SAMN08161864	SRX3462579	SRR6367073	SRS2750731	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3649	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	587788086	393452416	3160151	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
271	4822592	PRJNA421720	SAMN08161863	SRX3462578	SRR6367074	SRS2750716	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3648	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	400816236	269788070	2154926	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
272	4822591	PRJNA421720	SAMN08161862	SRX3462577	SRR6367075	SRS2750702	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3647	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	211728078	128787008	1138323	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
273	4822590	PRJNA421720	SAMN08161861	SRX3462576	SRR6367076	SRS2750715	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3646	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	467695140	308440520	2514490	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
274	4822589	PRJNA421720	SAMN08161860	SRX3462575	SRR6367077	SRS2750703	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3640	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	618445722	406070932	3324977	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
275	4822588	PRJNA421720	SAMN08161859	SRX3462574	SRR6367078	SRS2750745	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3639	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	455840802	300498227	2450757	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
276	4822587	PRJNA421720	SAMN08161956	SRX3462573	SRR6367079	SRS2750709	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3803	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	503964954	333743779	2709489	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
277	4822586	PRJNA421720	SAMN08161955	SRX3462572	SRR6367080	SRS2750761	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3802	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	475702254	316276504	2557539	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
278	4822585	PRJNA421720	SAMN08161658	SRX3462571	SRR6367081	SRS2750698	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3274	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	352771506	255434882	1896621	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
279	4822584	PRJNA421720	SAMN08161657	SRX3462570	SRR6367082	SRS2750697	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3272	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	310028892	224724500	1666822	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
280	4822583	PRJNA421720	SAMN08161652	SRX3462569	SRR6367083	SRS2750699	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3234	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	352149708	254335125	1893278	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
281	4822582	PRJNA421720	SAMN08161651	SRX3462568	SRR6367084	SRS2750701	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3233	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	283118412	205220935	1522142	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
282	4822581	PRJNA421720	SAMN08161650	SRX3462567	SRR6367085	SRS2750695	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3232	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	104392500	66919536	561250	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
283	4822580	PRJNA421720	SAMN08161649	SRX3462566	SRR6367086	SRS2750712	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3231	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	253208496	163699324	1361336	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
284	4822579	PRJNA421720	SAMN08161656	SRX3462565	SRR6367087	SRS2750705	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3248	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	415140840	301395691	2231940	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
285	4822578	PRJNA421720	SAMN08161655	SRX3462564	SRR6367088	SRS2750688	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3247	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	391775706	283521633	2106321	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
286	4822577	PRJNA421720	SAMN08161654	SRX3462563	SRR6367089	SRS2750687	Whole genome sequencing of Yersinia pestis from Brazil	public	1	true		true	SRP126528	Yersinia pestis Genome sequencing	Whole genome sequencing of Yersinia pestis from Brazil	None	632	public	Illumina HiSeq 2000	Yersinia_pestis_Yp3245	PAIRED	RANDOM	GENOMIC	WGS	ILLUMINA	157278252	99565249	845582	1	2018/12/13	2017/12/11	Northern Arizona University	Charles Williamson	Pathogen and Microbiome Institute	SRA637518	None
